objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
item001,,Safinah-yi Sulaimani,Muhammad Rabi' ibn Muhammad Ibrahim,1688,,"Account of Safavid embassy to Ayutthaya, 1685-1688",Iran; Siam; EEIC; diplomacy,Bandar Abbas; Muscat; Chennai; Fort St. George; Andaman; Bago; Myeik; Tanintharyi; Suphan Buri; Lopburi; Ayutthaya; Pattani; Malacca; Kochi; Surat; Mumbai,32.6539,51.666,British Library,Or 6942,manuscript,multiple,per,,,,,,,,
obj001,item001,"Page from Safinah-yi Sulaimani, Kitabkhanah-yi Malik manuscript",,,,,,,,,,,,image/png,,,,,,,,,
map001,item001,Safinah-yi Sulaimani voyage route,,,,,,,,,,,,image/png,,,,,,,,,
itin001,item001,Safinah-yi Sulaimani voyage itinerary,,,,,,,,,,,,image/png,,,,,,,,,
item002,,Voyage de Siam,Guy Tachard,1686,,"Account of French embassy to Ayutthaya, 1685-1686",France; Siam; diplomacy; astronomy,"Brest; Cape Finisterre; Madeira; La Palma, Canary Islands; El Hierro, Canary Islands; Cape Verde; Cape of Good Hope; Flores; Java; Banten; Jakarta; Bangkok; Ayutthaya; Lopburi; Réunion; Ascension; Corvo; Ushant",48.8575,2.3514,Gallica,,print,multiple,fre,,,,,,,,
obj002,item002,Title page of Voyage de Siam,,,,,,,,,,,,image/png,,,,,,,,,
map002,item002,Voyage de Siam voyage route,,,,,,,,,,,,image/png,,,,,,,,,
itin002,item002,Voyage de Siam voyage itinerary,,,,,,,,,,,,image/png,,,,,,,,,
item003,,A Relation of Some Yeares Travaile,Thomas Herbert,1634,,Account of English traveler Thomas Herbert's travels in Asia and Africa,England; Iran; recreation; natural history,,51.5072,0.1276,Early English Books Online,,microfilm;print,multiple,ang,,,,,,,,
obj003,item003,Title page of A Relation of Some Yeares Travaile,,,,,,,,,,,,,,,,,,,,,
obj004,,Carte Marine,,,,,,,,,,,,,,,,,,,,,
